Battery Model saved at index 1 of Keithley 2281S-20-6 on 22.08.2018 15:25:48
Capacity=2,24AH
SOC,Voc,Res
0,2.3596,6.0388
1,2.4132,4.0491
2,2.4545,2.2577
3,2.4886,0.1989
4,2.5176,7.9818
5,2.5423,5.9619
6,2.5633,4.301
7,2.5827,2.2277
8,2.5991,0.6606
9,2.614,8.7121
10,2.6257,7.56
11,2.6372,6.4584
12,2.6496,4.6899
13,2.662,2.818
14,2.674,0.8771
15,2.685,8.8515
16,2.6954,6.9785
17,2.705,5.1325
18,2.7138,3.4529
19,2.7215,1.8759
20,2.7281,0.2116
21,2.7326,9.1705
22,2.7372,8.3595
23,2.7438,7.4551
24,2.7511,6.6059
25,2.7583,5.8693
26,2.7655,5.2525
27,2.7721,4.7424
28,2.7785,4.2969
29,2.7829,3.9547
30,2.7851,3.754
31,2.7866,3.5679
32,2.788,3.426
33,2.7885,3.3531
34,2.7911,3.2425
35,2.7947,3.1197
36,2.7987,2.9953
37,2.8021,2.898
38,2.8055,2.7927
39,2.8081,2.7775
40,2.8103,2.7351
41,2.8125,2.6768
42,2.815,2.4784
43,2.8173,2.4754
44,2.8196,2.4666
45,2.8221,2.4475
46,2.8248,2.4445
47,2.8276,2.4403
48,2.83,2.4395
49,2.8324,2.4391
50,2.8345,2.4376
51,2.8369,2.4311
52,2.8391,2.4292
53,2.8412,2.4277
54,2.8433,2.4239
55,2.8456,2.4113
56,2.8483,2.4109
57,2.8505,2.4094
58,2.8531,2.4086
59,2.8558,2.4033
60,2.8584,2.4029
61,2.8615,2.3987
62,2.8631,2.3983
63,2.8634,2.3968
64,2.864,2.3964
65,2.8645,2.396
66,2.8646,2.3895
67,2.8656,2.3891
68,2.8659,2.3891
69,2.8669,2.3838
70,2.8669,2.3823
71,2.8695,2.3819
72,2.8705,2.3792
73,2.8708,2.3781
74,2.8715,2.3773
75,2.8719,2.3739
76,2.8721,2.3697
77,2.8724,2.3674
78,2.8724,2.3613
79,2.8731,2.3563
80,2.8731,2.3544
81,2.8731,2.3495
82,2.8735,2.3167
83,2.8737,2.2972
84,2.8737,2.2514
85,2.8738,2.2373
86,2.8738,2.137
87,2.8741,2.087
88,2.8746,2.0451
89,2.8751,2.0161
90,2.8762,2.0039
91,2.8764,1.9806
92,2.877,1.9703
93,2.8774,1.9447
94,2.8799,1.9173
95,2.8805,1.9028
96,2.8806,1.894
97,2.8817,1.7433
98,2.882,1.6068
99,2.9236,1.4664
100,3.2822,1.3165
