VARTA_CR2450-4x
Capacity=2.2400AH
SOC (%),Open Voltage (V),ESR (Ohm)
100,3.282222748,1.316452026
99,2.923564911,1.466369629
98,2.880569458,1.606750488
97,2.869537354,1.74331665
96,2.866901398,1.893997192
95,2.870750427,1.902770996
94,2.872119904,1.917266846
93,2.873703003,1.944732666
92,2.874572754,1.98059082
91,2.876174927,2.003860474
90,2.87739563,2.016067505
89,2.881736755,1.970291138
88,2.882026672,2.045059204
87,2.88048172,2.087020874
86,2.879947662,2.136993408
85,2.876964569,2.237319946
84,2.876426697,2.251434326
83,2.8751297,2.297210693
82,2.874103546,2.316665649
81,2.872428894,2.349472046
80,2.871940613,2.383804321
79,2.871494293,2.389144898
78,2.873142242,2.354431152
77,2.873081207,2.389144898
76,2.873756409,2.377319336
75,2.873657227,2.396392822
74,2.873847961,2.396011353
73,2.87348938,2.410888672
72,2.873069763,2.402877808
71,2.872364044,2.408599854
70,2.87046814,2.447509766
69,2.866874695,2.478408814
68,2.863983154,2.475357056
67,2.863449097,2.42767334
66,2.863117218,2.409362793
65,2.864479065,2.356338501
64,2.865631104,2.361297607
63,2.865943909,2.367401123
62,2.864620209,2.398681641
61,2.861461639,2.444458008
60,2.858406067,2.437591553
59,2.855819702,2.439498901
58,2.853107452,2.439117432
57,2.850547791,2.440261841
56,2.848293304,2.423858643
55,2.845554352,2.429199219
54,2.843334198,2.403259277
53,2.841220856,2.389526367
52,2.839084625,2.381896973
51,2.836860657,2.378082275
50,2.8344841,2.379226685
49,2.832378388,2.369689941
48,2.830047607,2.373886108
47,2.827629089,2.382278442
46,2.824848175,2.396774292
45,2.822128296,2.398300171
44,2.819602966,2.411270142
43,2.817344666,2.431106567
42,2.815040588,2.466583252
41,2.812549591,2.676773071
40,2.810310364,2.73513794
39,2.808132172,2.777481079
38,2.805473328,2.792739868
37,2.802055359,2.898025513
36,2.798667908,2.995300293
35,2.794708252,3.119659424
34,2.791061401,3.242492676
33,2.788475037,3.353118897
32,2.787986755,3.425979614
31,2.786632538,3.567886353
30,2.785095215,3.754043579
29,2.782863617,3.954696655
28,2.778522492,4.296875
27,2.772129059,4.742431641
26,2.765514374,5.252456665
25,2.758331299,5.869293213
24,2.751052856,6.605911255
23,2.743808746,7.455062866
22,2.7371521,8.359527588
21,2.732593536,9.170532227
20,2.728057861,10.21156311
19,2.721469879,11.87591553
18,2.71383667,13.45291138
17,2.704998016,15.13252258
16,2.69537735,16.97845459
15,2.68497467,18.85147095
14,2.674003601,20.8770752
13,2.661952972,22.81799316
12,2.649646759,24.68986511
11,2.637176514,26.45835877
10,2.625728607,27.56004334
9,2.613994598,28.71208191
8,2.599098206,30.66062927
7,2.58272171,32.22770691
6,2.56332016,34.30099487
5,2.54227829,35.96191406
4,2.517593384,37.98179627
3,2.488586426,40.19889832
2,2.454479218,42.25769043
1,2.413169861,44.04907227
0,2.359600067,46.03881836
